#
#     connection.super.dat
#
#     connection table for Superkamiokande
#
#    1  serial cable number (1-11146)
#    2  PMT super module address
#    3  PMT super module sub-address
#    4  PMT super module serial number
#    5  PMT module serial number
#    6  hut number
#    7  TKO BOX number
#    8  TKO MA
#    9  ATM channel
#   10  HV value
#   11  PMT number
#
#   reviced on  9-MAR-1996
#
    8616 1TP7P1B   W      76     287   1   1   7   5    1850  LA0473
    8660 1TP7P1C   U      76     288   1   1   7   6    2050  CD6003
    8661 1TP7P1C   V      76     288   1   1   7   7    1720  LM5652
    8662 1TP7P1C   W      76     288   1   1   7   8    2200  GH6039
    8706 1TP7P1D   U      76     289   1   1   7   9    1940  AB6395
    8707 1TP7P1D   V      76     289   1   1   7  10    1930  EF6516
    8708 1TP7P1D   W      76     289   1   1   7  11    2030  EF6158
    8734 1TP1P2A   U      43     160   1   1   8   0    2070  GH6055
    8735 1TP1P2A   V      43     160   1   1   8   1    1890  GH6022
    8736 1TP1P2A   W      43     160   1   1   8   2    2190  AB7481
    8780 1TP1P2B   U      43     161   1   1   8   3    2160  GH6219
    8781 1TP1P2B   V      43     161   1   1   8   4    2270  AB7387
    8782 1TP1P2B   W      43     161   1   1   8   5    2180  AB7505
    8826 1TP1P2C   U      43     162   1   1   8   6    1950  AB6659
    8827 1TP1P2C   V      43     162   1   1   8   7    2070  EF6107
    8828 1TP1P2C   W      43     162   1   1   8   8    2080  JK6244
    8871 1TP1P2D   U      43     163   1   1   8   9    2030  AB6171
    8872 1TP1P2D   V      43     163   1   1   8  10    2000  JK6421
    8873 1TP1P2D   W      43     163   1   1   8  11    1940  CD6030
    8737 1TP2P2A   U      49     184   1   1   9   0    2100  AB7011
    8738 1TP2P2A   V      49     184   1   1   9   1    2000  AB7599
    8739 1TP2P2A   W      49     184   1   1   9   2    2050  AB7228
    8783 1TP2P2B   U      49     185   1   1   9   3    2000  LA0524
    8784 1TP2P2B   V      49     185   1   1   9   4    1750  ZW0764
    8785 1TP2P2B   W      49     185   1   1   9   5    1840  LA0582
    8829 1TP2P2C   U      49     186   1   1   9   6    1980  GH6233
    8830 1TP2P2C   V      49     186   1   1   9   7    2000  AB7239
    8831 1TP2P2C   W      49     186   1   1   9   8    2370  AB7297
    8874 1TP2P2D   U      49     187   1   1   9   9    2240  AB7633
    8875 1TP2P2D   V      49     187   1   1   9  10    2100  AB7406
    8876 1TP2P2D   W      49     187   1   1   9  11    2050  AB7486
    8740 1TP3P2A   U      55     207   1   1  10   0    2210  GH6139
    8741 1TP3P2A   V      55     207   1   1  10   1    2200  EF6356
    8742 1TP3P2A   W      55     207   1   1  10   2    2100  AB6557
    8786 1TP3P2B   U      55     208   1   1  10   3    1790  AF4356
    8787 1TP3P2B   V      55     208   1   1  10   4    1910  AF4065
    8788 1TP3P2B   W      55     208   1   1  10   5    1857  AF4359
    8832 1TP3P2C   U      55     209   1   1  10   6    1900  AF4084
    8833 1TP3P2C   V      55     209   1   1  10   7    1732  AF4309
    8834 1TP3P2C   W      55     209   1   1  10   8    1840  AF4022
    8877 1TP3P2D   U      55     210   1   1  10   9    1800  AF4255
    8878 1TP3P2D   V      55     210   1   1  10  10    1910  AF4160
    8879 1TP3P2D   W      55     210   1   1  10  11    1712  AF4336
    8743 1TP4P2A   U      61     230   1   1  11   0    1990  EF6766
    8744 1TP4P2A   V      61     230   1   1  11   1    2100  AB6369
    8745 1TP4P2A   W      61     230   1   1  11   2    2260  EF6305
    8789 1TP4P2B   U      61     231   1   1  11   3    2100  LM5615
    8790 1TP4P2B   V      61     231   1   1  11   4    2080  AB6607
    8791 1TP4P2B   W      61     231   1   1  11   5    2160  EF6776
    8835 1TP4P2C   U      61     232   1   1  11   6    2100  LM6383
    8836 1TP4P2C   V      61     232   1   1  11   7    2090  EF6800
    8837 1TP4P2C   W      61     232   1   1  11   8    2130  EF6295
    8880 1TP4P2D   U      61     233   1   1  11   9    1980  EF6547
    8881 1TP4P2D   V      61     233   1   1  11  10    1880  AB6170
    8882 1TP4P2D   W      61     233   1   1  11  11    2130  JK6487
    8746 1TP5P2A   U      67     252   1   1  12   0    1900  AB6645
    8747 1TP5P2A   V      67     252   1   1  12   1    2200  JK6303
    8748 1TP5P2A   W      67     252   1   1  12   2    2200  JK6348
    8792 1TP5P2B   U      67     253   1   1  12   3    2100  EF6461
    8793 1TP5P2B   V      67     253   1   1  12   4    2130  CD6022
    8794 1TP5P2B   W      67     253   1   1  12   5    1800  AB6188
    8838 1TP5P2C   U      67     254   1   1  12   6    1940  CD6031
    8839 1TP5P2C   V      67     254   1   1  12   7    2150  JK6314
    8840 1TP5P2C   W      67     254   1   1  12   8    2200  JK6228
    8883 1TP5P2D   U      67     255   1   1  12   9    1980  AB6660
    8884 1TP5P2D   V      67     255   1   1  12  10    2180  EF6597
    8885 1TP5P2D   W      67     255   1   1  12  11    2090  AB6209
    8749 1TP6P2A   U      72     272   1   1  13   0    2300  AB7179
    8750 1TP6P2A   V      72     272   1   1  13   1    2160  AB7172
    8751 1TP6P2A   W      72     272   1   1  13   2    2290  AB7585
    8795 1TP6P2B   U      72     273   1   1  13   3    2280  AB7247
    8796 1TP6P2B   V      72     273   1   1  13   4    2250  AB7186
    8797 1TP6P2B   W      72     273   1   1  13   5    2110  AB7390
    8841 1TP6P2C   U      72     274   1   1  13   6    2090  AB7617
    8842 1TP6P2C   V      72     274   1   1  13   7    2200  AB7662
